id;m_source;c_source;m_country_code;c_country_code;m_source_id;c_source_id;validation_status
4328501;AZT;CMA;LT;LT;641053005124;18365;gpt_2
4328509;AZT;CMA;LT;LT;477016109991;15305;gpt_2
4328595;AZT;CMA;LT;LT;731740000207;22267;gpt_2
4328624;AZT;CMA;LT;LT;477016109236;22718;gpt_2
4328658;AZT;CMA;LT;LT;477901799295;15402;gpt_2
4328710;AZT;CMA;LT;LT;859406089015;22573;gpt_2
4328767;AZT;CMA;LT;LT;400076;22751;gpt_2
4328792;AZT;CMA;LT;LT;763001990406;18515;gpt_2
4328803;AZT;CMA;LT;LT;477016110306;18573;gpt_2
4328862;AZT;CMA;LT;LT;570945500609;22374;gpt_2
4328919;AZT;CMA;LT;LT;477016109496;22628;gpt_2
4328941;AZT;CMA;LT;LT;366143400431;16497;gpt_2
4328985;AZT;CMA;LT;LT;477000133459;16509;gpt_2
4329003;AZT;CMA;LT;LT;400630;15604;gpt_2
4329084;AZT;CMA;LT;LT;400074;18669;gpt_2
4329150;AZT;CMA;LT;LT;477901799269;17038;gpt_2
4329152;AZT;CMA;LT;LT;477131631150;18172;gpt_2
4329170;AZT;CMA;LT;LT;221595;21087;gpt_2
4329185;AZT;CMA;LT;LT;366143400545;16674;gpt_2
4329240;AZT;CMA;LT;LT;212959;15134;gpt_2
4329246;AZT;CMA;LT;LT;475100808080;22380;gpt_2
4329309;AZT;CMA;LT;LT;880969822052;22954;gpt_2
4329315;AZT;CMA;LT;LT;704751000621;23317;gpt_2
4329335;AZT;CMA;LT;LT;354689551655;16586;gpt_2
4329372;AZT;CMA;LT;LT;477000133460;16510;gpt_2
4329417;AZT;CMA;LT;LT;732013301521;18331;gpt_2
4329441;AZT;CMA;LT;LT;219669;23181;gpt_2
4329510;AZT;CMA;LT;LT;764011491107;22280;gpt_2
4329520;AZT;CMA;LT;LT;890124833702;18444;gpt_2
4329546;AZT;CMA;LT;LT;502935400124;22609;gpt_2
4329570;AZT;CMA;LT;LT;590737713386;16472;gpt_2
4329591;AZT;CMA;LT;LT;570945500606;19107;gpt_2
4329629;AZT;CMA;LT;LT;072239311691;18920;gpt_2
4329649;AZT;CMA;LT;LT;072239317495;22849;gpt_2
4329660;AZT;CMA;LT;LT;502935400123;22610;gpt_2
4329661;AZT;CMA;LT;LT;570945500605;22373;gpt_2
4329702;AZT;CMA;LT;LT;219650;21470;gpt_2
4329769;AZT;CMA;LT;LT;697081055148;18992;gpt_2
4329770;AZT;CMA;LT;LT;218302;18844;gpt_2
4329772;AZT;CMA;LT;LT;219862;20902;gpt_2
4329890;AZT;CMA;LT;LT;502935400035;15189;gpt_2
4330025;AZT;CMA;LT;LT;030179;21786;gpt_2
4330067;AZT;CMA;LT;LT;072239111024;22838;gpt_2
4330094;AZT;CMA;LT;LT;697081055147;18991;gpt_2
4330122;AZT;CMA;LT;LT;220012;23182;gpt_2
4330144;AZT;CMA;LT;LT;502935400125;22593;gpt_2
4330202;AZT;CMA;LT;LT;204445;15740;gpt_2
4330204;AZT;CMA;LT;LT;204735;16036;gpt_2
4330205;AZT;CMA;LT;LT;204850;16050;gpt_2
4330206;AZT;CMA;LT;LT;205094;15694;gpt_2
4330218;AZT;CMA;LT;LT;208781;17273;gpt_2
4330224;AZT;CMA;LT;LT;215096;17822;gpt_2
4330227;AZT;CMA;LT;LT;215941;18147;gpt_2
4330246;AZT;CMA;LT;LT;380071200351;14985;gpt_2
4330250;AZT;CMA;LT;LT;383898957558;15313;gpt_2
4330279;AZT;CMA;LT;LT;043050;16031;gpt_2
